Date,Surf
2019-10-19,0.0941
2019-10-20,0.11138
2019-10-21,0.09768
2019-10-22,0.11759
2019-10-23,0.10111
2019-10-24,0.10389
2019-10-25,0.13187
2019-10-26,0.12449
2019-10-27,0.12968
2019-10-28,0.10772
2019-10-29,0.10313
2019-10-30,0.10622
2019-10-31,0.10719
2019-11-01,0.13795
2019-11-02,0.18771
2019-11-03,0.12628
2019-11-04,0.1156
2019-11-05,0.12061
2019-11-06,0.11518
2019-11-07,0.13643
2019-11-08,0.10994
2019-11-09,0.11163
2019-11-10,1.68991
2019-11-11,0.46014
2019-11-12,0.2491
2019-11-13,0.21393
2019-11-14,0.1655
2019-11-15,0.13612
2019-11-16,0.13029
2019-11-17,0.1563
2019-11-18,0.16196
2019-11-19,0.15092
2019-11-20,0.12221
2019-11-21,0.12998
2019-11-22,0.13348
2019-11-23,0.12558
2019-11-24,0.1215
2019-11-25,0.12607
2019-11-26,0.11951
2019-11-27,0.11371
2019-11-28,0.1145
2019-11-29,0.1178
2019-11-30,0.12163
2019-12-01,0.10264
2019-12-02,0.09426
2019-12-03,0.09259
2019-12-04,0.09806
2019-12-05,0.09569
2019-12-06,0.09014
2019-12-07,0.09055
2019-12-08,0.09303
2019-12-09,0.10657
2019-12-10,0.11899
2019-12-11,0.09707
2019-12-12,0.09663
2019-12-13,0.09099
2019-12-14,0.08424
2019-12-15,0.08749
2019-12-16,0.09254
2019-12-17,0.09735
2019-12-18,0.09592
2019-12-19,0.09063
2019-12-20,0.09163
2019-12-21,0.0997
2019-12-22,0.09173
2019-12-23,0.08841
2019-12-24,0.10136
2019-12-25,0.09515
2019-12-26,0.10341
2019-12-27,0.10098
2019-12-28,0.11273
2019-12-29,0.10611
2019-12-30,0.1064
2019-12-31,0.10726
2020-01-01,0.10877
2020-01-02,0.11987
2020-01-03,0.12715
2020-01-04,0.11693
2020-01-05,0.10903
2020-01-06,0.10023
2020-01-07,0.09367
2020-01-08,0.0907
2020-01-09,0.13785
2020-01-10,0.12567
2020-01-11,0.09656
2020-01-12,0.08855
2020-01-13,0.12464
2020-01-14,0.1138
2020-01-15,0.11874
2020-01-16,0.12659
2020-01-17,0.10732
2020-01-18,0.09577
2020-01-19,0.09781
2020-01-20,0.14552
2020-01-21,0.201
2020-01-22,0.25976
2020-01-23,0.84201
2020-01-24,1.27259
2020-01-25,1.135
2020-01-26,1.78326
2020-01-27,1.74637
2020-01-28,2.43506
2020-01-29,2.29898
2020-01-30,2.45921
2020-01-31,3.69806
2020-02-01,2.58783
2020-02-02,2.77697
2020-02-03,3.59195
2020-02-04,3.42669
2020-02-05,3.10403
2020-02-06,3.88727
2020-02-07,3.5328
2020-02-08,2.87421
2020-02-09,2.55346
2020-02-10,3.04619
2020-02-11,2.57687
2020-02-12,2.72634
2020-02-13,3.17758
2020-02-14,2.43513
2020-02-15,1.85447
2020-02-16,1.91089
2020-02-17,2.25988
2020-02-18,31.24646
2020-02-19,100.0
2020-02-20,50.63446
2020-02-21,78.27861
2020-02-22,72.18004
2020-02-23,71.42901
2020-02-24,87.36616
2020-02-25,94.4571
2020-02-26,78.68609
2020-02-27,75.55923
2020-02-28,70.34025
2020-02-29,61.34314
2020-03-01,54.56533
