Date,Surf
2019-10-20,9.37942
2019-10-21,12.09496
2019-10-22,10.22907
2019-10-23,8.29654
2019-10-24,8.83798
2019-10-25,7.57184
2019-10-26,5.25614
2019-10-27,6.81382
2019-10-28,8.43815
2019-10-29,7.88004
2019-10-30,8.7047
2019-10-31,9.77925
2019-11-01,7.06372
2019-11-02,5.60599
2019-11-03,6.80549
2019-11-04,8.97959
2019-11-05,8.75468
2019-11-06,8.60474
2019-11-07,8.69637
2019-11-08,7.13036
2019-11-09,5.64764
2019-11-10,7.98
2019-11-11,12.26155
2019-11-12,8.97959
2019-11-13,7.31361
2019-11-14,7.1137
2019-11-15,6.72219
2019-11-16,5.85589
2019-11-17,7.38025
2019-11-18,8.98792
2019-11-19,8.63806
2019-11-20,7.32194
2019-11-21,8.98792
2019-11-22,8.4798
2019-11-23,6.85547
2019-11-24,8.12994
2019-11-25,6.38067
2019-11-26,6.35568
2019-11-27,6.18075
2019-11-28,7.48021
2019-11-29,6.13077
2019-11-30,3.98167
2019-12-01,4.66472
2019-12-02,5.62265
2019-12-03,6.13077
2019-12-04,6.08079
2019-12-05,5.40608
2019-12-06,4.92294
2019-12-07,3.97334
2019-12-08,3.94835
2019-12-09,4.38983
2019-12-10,4.44814
2019-12-11,4.68971
2019-12-12,4.50645
2019-12-13,4.34818
2019-12-14,4.01499
2019-12-15,4.60641
2019-12-16,5.20616
2019-12-17,4.87296
2019-12-18,4.98958
2019-12-19,4.1566
2019-12-20,3.98167
2019-12-21,3.39858
2019-12-22,3.72344
2019-12-23,3.93169
2019-12-24,3.97334
2019-12-25,3.30695
2019-12-26,4.27321
2019-12-27,3.72344
2019-12-28,2.69054
2019-12-29,3.61516
2019-12-30,3.00708
2019-12-31,2.93211
2020-01-01,2.54893
2020-01-02,2.85714
2020-01-03,3.182
2020-01-04,2.79883
2020-01-05,3.79008
2020-01-06,3.08204
2020-01-07,3.25697
2020-01-08,3.37359
2020-01-09,2.94877
2020-01-10,3.10703
2020-01-11,2.59058
2020-01-12,2.33236
2020-01-13,2.69887
2020-01-14,2.92378
2020-01-15,2.60724
2020-01-16,2.72386
2020-01-17,2.48229
2020-01-18,2.30737
2020-01-19,2.36568
2020-01-20,2.74052
2020-01-21,2.65722
2020-01-22,2.63223
2020-01-23,2.67388
2020-01-24,2.05747
2020-01-25,1.52436
2020-01-26,2.08246
2020-01-27,2.83215
2020-01-28,3.44856
2020-01-29,3.03206
2020-01-30,2.69887
2020-01-31,2.50728
2020-02-01,2.29071
2020-02-02,2.41566
