Date,Surf
2019-10-19,0.11276
2019-10-20,0.14116
2019-10-21,0.19098
2019-10-22,0.1621
2019-10-23,0.13841
2019-10-24,0.17033
2019-10-25,0.12576
2019-10-26,0.10727
2019-10-27,0.12362
2019-10-28,0.17093
2019-10-29,0.22725
2019-10-30,0.172
2019-10-31,0.17672
2019-11-01,0.24974
2019-11-02,0.15184
2019-11-03,0.15566
2019-11-04,0.15989
2019-11-05,0.1655
2019-11-06,0.17791
2019-11-07,0.16639
2019-11-08,0.16586
2019-11-09,0.13346
2019-11-10,0.14689
2019-11-11,0.17487
2019-11-12,0.18036
2019-11-13,0.17624
2019-11-14,0.22821
2019-11-15,0.18048
2019-11-16,0.1337
2019-11-17,0.15118
2019-11-18,0.2365
2019-11-19,0.25201
2019-11-20,0.24056
2019-11-21,0.2112
2019-11-22,0.15279
2019-11-23,0.11711
2019-11-24,0.12362
2019-11-25,0.18388
2019-11-26,0.16496
2019-11-27,0.16419
2019-11-28,0.16228
2019-11-29,0.15494
2019-11-30,0.13513
2019-12-01,0.20565
2019-12-02,0.26621
2019-12-03,0.27462
2019-12-04,0.22934
2019-12-05,0.27373
2019-12-06,0.26227
2019-12-07,0.20887
2019-12-08,0.22922
2019-12-09,0.30004
2019-12-10,0.49007
2019-12-11,0.45433
2019-12-12,0.25112
2019-12-13,0.19444
2019-12-14,0.17326
2019-12-15,0.16872
2019-12-16,0.17517
2019-12-17,0.17385
2019-12-18,0.1655
2019-12-19,0.16329
2019-12-20,0.151
2019-12-21,0.13794
2019-12-22,0.15375
2019-12-23,0.1763
2019-12-24,0.159
2019-12-25,0.1584
2019-12-26,0.20714
2019-12-27,0.19999
2019-12-28,0.15613
2019-12-29,0.14354
2019-12-30,0.15977
2019-12-31,0.15548
2020-01-01,0.15721
2020-01-02,0.20022
2020-01-03,0.2121
2020-01-04,0.18059
2020-01-05,0.16634
2020-01-06,0.19372
2020-01-07,0.1695
2020-01-08,0.17719
2020-01-09,0.18125
2020-01-10,0.17892
2020-01-11,0.16359
2020-01-12,0.15935
2020-01-13,0.20535
2020-01-14,0.1939
2020-01-15,0.18125
2020-01-16,0.17701
2020-01-17,0.15649
2020-01-18,0.14498
2020-01-19,0.1578
2020-01-20,0.25332
2020-01-21,0.36746
2020-01-22,0.49746
2020-01-23,0.68409
2020-01-24,0.70002
2020-01-25,1.54157
2020-01-26,3.01697
2020-01-27,8.42995
2020-01-28,21.26745
2020-01-29,22.67669
2020-01-30,25.92462
2020-01-31,37.4805
2020-02-01,25.58072
2020-02-02,25.19184
2020-02-03,28.7181
2020-02-04,22.21382
2020-02-05,23.25381
2020-02-06,23.39342
2020-02-07,22.36071
2020-02-08,18.10215
2020-02-09,13.79437
2020-02-10,15.45198
2020-02-11,11.7987
2020-02-12,9.25646
2020-02-13,8.21749
2020-02-14,5.32736
2020-02-15,4.00242
2020-02-16,3.74223
2020-02-17,5.96903
2020-02-18,8.14381
2020-02-19,22.76678
2020-02-20,36.96776
2020-02-21,55.27939
2020-02-22,58.94836
2020-02-23,63.9236
2020-02-24,100
2020-02-25,96.5473
2020-02-26,81.06984
2020-02-27,74.64789
2020-02-28,79.88952
2020-02-29,66.15117
2020-03-01,56.65904
