댓글
박근혜 시계는  입막음용 협박인가? 왜 보란듯이 떡 까놓고 있었을까?
두번이나 절한건 니네들 다 골로 보낸다는의미는 아니겠죠??원래 죽은사람에게 두번 절하는거 아님?? 설마 그런것까지 계산해서 두번 절한거면  종교인보단 악마의 사도에 가깝겠군요
"쓸데없는 얘기,  말도 안되는 소리 마라 사람들이 죽었다!  절대 이 사태 못넘어간다!  도망은 왜가고 정보 누락은 왜 했고 끝까지 오리발???   법으로 벌금 때리고 구속 수사 해라 국민 세금이 얼마냐 지금!!! 옹호하는 국회 의원만 있어봐 어디!!!!"
확산을 막는데 노력했다고? 그럼 일반교회잠입해서 바이러스 퍼트리라는 지령은 뭔데??? 사람죽여놓고 미안하다고 사과하면 끝이야 기다려 민형사상 모든 책임을 지게 될테니까!!!! 나쁜 인간
"영생불사한다는 놈이 마스크는 왜 쓰냐? 저 놈 뒤 봐주는 정치인, 검찰 싹 다 잡아들여라."
끝까지 거짓말 하네. 신천지 니들이 첨부터 협조만 잘했어도 공든타임 놓치지 않았다. 지금이라도 다 투명하게 꺼내놓고 국민의 한사람으로 책임을 다해라.
영생불사가 살겠다고 마스크를 하고 나왔다. 코메디 하고 있네.
신천지들 정신차려요. 지금이 기회입니다. 사이비 소굴에서 나올 기회입니다...건강한 교회 많아요.
왜두번절해? 죽은사람이냐 국민들이 ㅡㅡ당신은 코로나걸려도 죽지않잖아요~~마스크는 ....마스크아깝게....
자칭 예수가 인간한테 절을 하네..
그만큼 해쳐드셨으면 이젠 좀 뒈지쇼
아무래도 시계 잘 보이도록 연습한듯
"쇼하고있네..... 지네... 신도들 탈퇴할까봐...결속력 다지려고... 쇼 하는거 잖아... 그리고... 당신이 먼데... 기자회견 을 합니까... 우리나라... 기자회견을 아무나 할수 있는건가요.... 어이가 없네.., 사기꾼 ㅅㅋ"
지가 예수라는 쉐끼가. 영생을 누린다는 쉐끼가 뭐하러 마스크는 쓰고 자빠졌냐?
야  니가 마스크 쓰면 안되지너는 신도들에게 영생불사한다고 가르치잖아그런데 죽음이 두렵냐마스크 쓰게니가 마스크 쓰는 순간 니가 가르치는 교리가 다 뻥인것이 들통난다
진작에 그랬으면 이난리가 않났을꺼 아니냐 이 늙은 악마야~ 아무튼 전재산 싸그리 팔아서 손해배상할 준비하고 니네들과 관련된 정치꾼들 명단도 소상히 밝히고...
병천지도 이제 완전 폐쇄해야지
박근혜 감방에 이만희 넣어줘라
아.    너희가  감염시킨  치료비랑. 대구쪽 비용  다 내삼.
답답한 대한민국입니다...교리나 생활이나 엉망인 종교에 21만명이 넘는 신도수....기가찹니다...
"필요없다. 한나라당가 유착관계 수사,국회의원, 고위공직자, 경찰, 검찰, 유착괸계 수사,본인 재산, 부동산 압수,그리고, 종교집단 세금납부 투명화,특히, 성금도 불로소득 으로 25% 세금 납부 합법화교주의 재산 어떻게 5,000천억 이상 될수가 있는지,부동산도 1천500개ᆢ"
"천지일보에 축사한 이해찬, 민주당 행사에 조직 동원해준 신천지. 우리는 또 다시 민주당 연출하고 신천지 이만희가 배우로 올라선 자작극 한 편 봤네요^^ 연출자의 의도대로 시계 물타기 들어갔지만, 더이상 우매한 국민들이 아니라서 어떡하나요^^ 민주당=문재인=신천지"
용서같은 소리하네 이새끼 사법처리하고 신천지한테 구상권청구해라
절하면 용서가 되는줄 아는가? 당신은 국격을 훼손 시켰어~~당장 살인 방조죄로 구속하라!!!
저런 썩은 ...고기 같은 사이비 가짜 선지자를 따르는 사람들이 너무 불쌍하다 아직도 눈꺼풀이 안 벗겨진건가?? 자신이 신이라면서 마스크는 왜 하고 나온거임 ? 수많은 청춘들을 포교해서 헤어날수 없는 지옥으로 인도한 사탄의 하수인 이제 그만 지옥이나 가시지
"설계들어갔네,,신천지의 기관지인 천지일보는 문재인을 지지했다,,박원순과 유시민은 신천지에 표창장을 줬고,,이해찬은 축사까지 했다,,이 시국에 박근혜 물타기로 친중좌파정부가 가  정치적 놀이하는 거 봐라,,ㅉㅉㅉ"
저 시계 박근혜가 준 기념 시계!!!!  이래도 자한당과 관련이 없다고!!!!
사이비교회. 없어라
시계?안속는다..이제 다알아..절한거부터가 시계보이려고
이만희 시계 의미 ㅡ 현 미래통합당에게 알아서 처리하라는 의미임. 뒤 안봐주면 자폭하겠다는 무언의 협박
교활한교안이.신천지 이만희.교안이친구.전광훈이.다 구속시켜야한다.박쥐같은넘들
이만희는 박정희때 인연으로 박근혜까지~ 참 대단하네
신첰지가 자한당.오잘라게 후원햇겟디 자한당은 오는돈 안막고 가는돈 뺏으니까
죽은 사람에게만 두번 절하는데 우리 다 죽었단 뜻인가? 시계도 일부러 차고 나온 것 같고. 메시지가 있는 것 같다! 누가 뒤를 봐주고 있는지 샅샅이 조사해라!
박근혜 시계는 미래통합당에게 혼자 죽진않겠다는 무언의 항의 인듯
이만희도 좀 모자라네시계까고 협박하면 새누리가 보호해불거라 생각햇나 ㅋㅋㅋㅋㅋㅋㅋㅋ넌 이제 탈탈 털릴 준비나 해그것이 알고싶다 나올거고 세무조사 들어가고횡령 사기죄로 무기징역받고 유병언 처럼베트남가서 죽어지내라 ㅎ ㅎ
이만희 이놈아 금시계 차고 다니다가 일부러 박근혜시계 차고나와 엿먹일라고 문죄앙한테 쇼를 보였지.퉤
있는돈 다 뺏아 자영업 하는분들 모두 나눠줘야할듯ᆢ대구는  특별히 ᆢ
이만희는 재산 풀어서 검사비 부담해야 인간이지. 왜 내가낸 세금으로 이런비용 내야하냐!
영생하신다는 분이 마스크쓰고 나와서 인간들에게 큰절을 두번? 저런놈을 믿는 놈들도 이해불가ㅋ 제발 신천지들아 저거보고 뭐라도 좀 느끼길...우리 교주님 엉엉ㅜ 하며 북한처럼 그러지 말고
나쁜 늙은이 곧 저승갈텐데 지옥불에나 떨어져라 정말 이시대 최고의 사기꾼놈 젊은 애들 끌어들어 남의 가정 파탄내고 저는 더리운 사리사욕 다 채우는 인간 말종
말도 잘 못하네  이빨이 많이 빠진 듯 그래서야 어디 영생할 수 있겠니? 귀도 잘 안들리고 정신도 흐린것 같다 신천지 광신도들아 니들이 영생한다고 믿는 이만희 상태를 보고도 계속 믿고 싶니 ㅜㅜ
근데 큰절을 왜 두번??? 의미가??? 전재산 몰수해서 코로나 치료비에 사용해라~~
사악한 집단이다...악마 이만희  이젼 늙다리지만  그  수하들  돈에 미쳐서  사람을 이용하는 악마집단들....그런데  거기에  기생충마냥  기대고 있는  정치 세력도 있지....정치 인들 종교  조사해라  지들이 떳떳 하다면 말할 수 있겠지
얘들아~ 시계봤지? 지령떨어졌다...
죽은사람 한테나 절 두번 하는거 아니에요?
사회악은 꼭 처벌해야한다. 애들이 보고 뭘 배우겠는가?
박근혜 시계 ㅋㅋㅋㅋ
체포해서 사회질서 교란죄 사기죄 살인조등 수사하세요.
얘도 사과했는데 더 큰죄를지은 문씨는 왜 안해?????
사이비 교주도 사과하는데 대통령은 안나오고 숨어서 모하냐?
신천지=새누리=박근혜=====핑크당
저기서 누군가가 총으로 쏴죽였으면 대박일텐데...
이만희 닭그네시계차고 나혼자 안죽는다 미통닭에게 공개협박~~~
"영생불멸한다고 사기치더니 마스크하고 벌벌떠는꼴이라니,,,"
생방보는데 두번 절해서 깜놀했어. 의도된건가? 무서워...
박그네시계차고 미통당한테  보란듯이 경고하는듯
속마음은 다죽어라ㅋㅋ 두번절하네 이태원클라쓰 보는갑네 역시 앞서가네  만희야
뭐래? 치료는 치료고...잘 잘못은 따져야지...나라를 이꼴로 만들어놓고...세월호 뭉개듯 또 뭉개냐? 니들 그네빠들은 다 이러고도 국민을 위하는거냐? 그네시계가 말해주네...지금 정권흔들려고 일부러 코로나 창궐하는 우한에 다녀와 퍼트린건 아닌지 진짜 의심아닌 의심이 든다..
리만히-문제인 거래.. 뜬금없이 반팔입고 박근혜 시계 보란 듯이..??ㅎㅎ 근데 날짜가 31일.. 평소에 고가시계 차던 넘이..
절 두번하는건 엿먹이는거지? ㅎ
정부에 용서 구한다면서 박근혜 시계를 차고 나온다?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 와 이거 시나리오 대박이네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
박근혜고뭐고 난 모르겠고. 신천지 때문에 환자 폭증하고 신천지가 집단적으로 감염사실 은폐하려고 했던건 여러가지 증거로 나온 팩트니까 저 할아버지 재산 몰수해서 의료진들 방호복 구입하고 국민들 생계지원합시다.
또 시나리오 건넨거지 뭐 ㅋㅋ 박근혜시계 차고 나와라 ㅋㅋ 그런후 지령받은 조선족들 댓글 공작중
어차피 저런데 빠질정도면 하등생존가치없는것들아니냐ㅋㅋㅋㅋㅋ  인구많아서 젊은사람들 살기도 빡쎈데 이번기회에 개체수조절확실히 하자
절 두번 하는건 다 죽이겠다는 뜻인가?
진짜 미안하면 신천지 파괴하셈 니들 땜에 내 대학 새내기생활도 다 날아가버렸으니까;;
메시아라면서....구속수사 애기나오니깐...꼬리내리나!!😠😠😠😠😠😠....사이비야!!   재산몰수해서 사회에 환원하고...죄값을 받아라.......가증스럽다
그냥 스폰서 장부까고 놀아보자
범죄자가 절하는 걸로 ~떼우면 안되지추악한 쇼는 더이상 보고 싶지 않네요.
응??왜 두번큰절???ㅋㅋㅋㅋㅋㅋㅋㅋ
니들때문에  들어간 세긍  전액  배상해라
총살해버리지 뭘 듣고앉아있냐
추수꾼 침투한 교회 리스트는 아무말이 없네? 해당 교회도 방역 해야 할 것 아닌가?
말로만 미안하지말고재산 내놔야지 다른사람 기부금도 내놓는판에
"신천지는 절대 모든 명단을 넘기지 않을거야. 공개되선 안되는 비밀명단이 존재할게 뻔하고, 장소도 그렇고. 신천지는 영화 치외법권에서 나온거 같은 사이비다. 돈과 권력이 있는 곳에 다 줄이 있을거고 저런건 그냥 연기 코스프레일뿐. 신천지는 바퀴벌레 같아서 절대 없앨 수 없다는게 짜증난다. 장소가 없으면 각자집에서 온라인으로 할테고말이지."
재림예수가 코로나를 왜 막지 못하는 거지?재림 예수가 왜 하찮은 인간에게 사과를 하는 거지?
석ㅇ렬아  머하냐  조국털ㅇ듯이 왜못터냐  처받아먹은게ㅣ있냐 이님 니마누라가 신처지냐
이만희 박근혜시계 차고나옴 ㅋㅋㅋㅋㅋ 통합탕 ㅈ대는 소리 들린다 ㅋㅋㅋㅋㅋ
시계가 잘 보이도록 절을 해야할텐데.... 이러면 잘 찍혔겠지??
이거봐 사과해도 지랄 안해도 지랄 ㅋㅋㅋㅋㅋ
큰절 두번=너희는 죽은 목숨이다?
저 노친네가 반팔셔츠입고 박근혜시계를 노출하기로 작정했다. 사주를 받았다.
이만희도 사과하는데 대한민국 이지경 만든 원흉인 문재인은 왜 사과 안하냐?
ㅋㅋㅋㅋ 돈 뺏길까봐?
사람 다 죽게 만들고  미안합니다  용서해주세요 하고 다 용서되면 감방 갈 사람 한명도 없겟다
5천억 쯤 징수 ㅇ해야 한다고 보는데~~~~ㅠ
지금 시계가 중요 한가? 마스크 아직도 ㅈ중국에 보내고  자 국민은 밤샘 줄서는 이나라에 . 저 따위가 절을 하던말던
니들 신보고 해결하라 그래. 신도 없으면서 뭘 믿어 사기꾼들아
"질서 지키길 바라는 자가, 지들 신도는 맨바닥에 다닥다닥 붙혀서 앉혀서, 신도수만 확장하려드냐? 세력 욕심에 눈이 먼 거짓 종교인의 면상이다"
박끄네 지지자들한테  자기 도와달란 싸인 보내는기가?
정.관계에 얼마나 많은 넘들이 로비를 받았을까?유착관계 못밝히면 다 헛빵이다~~
검찰고소장 들어가고 똥줄이 얼마나타면 절을 두번이나하냐 큰일이다..
우한폐렴의 가장 근본 문제가 이만희 땜에 촛점 흐려지면 안된다 책임소재 문제니까 이 만희는 2차적인 책임자로서 법적 조치받으면 되는 것이고 가장 크게 문제가 되는 1차적인 책임은 문재앙인 것 국민들은 절대 잊으면 안된다
이새끼 2번씩 절하냐?ㅋㅋ 죽으라고 고사지내냐
그래서 영생 하느냐??? 불멸인지 묻잖아 더러운 영감탱아 ㅋㅋㅋㅋㅋ 조올라 유치한 놀이하는 역겨운 할배네 ㅋㅋㅋㅋ
진짜네 추운데 속에 긴팔안입고 반팔 입었네
신천지도  피해자라더니  무릎꿇고 절하면 끝인가요신천지로 인해 드는 검사 의료비는 신천지에서  부담해야 진심으로 사죄하는거 아닌가요그리고 죄값도 치러는게 맞지 않나요
교주가 마스크는 왜썼데?영생의 상징 아닌가?지도 죽기는 싫은가보지 ㅋㅋㅋ
연기 연습 하느라 애썼다
감옥에 계신 분을 왜? 각자 자기 잘못만 인정하고 사과하고 법적 그리고 도덕적인 책임을 지세요 판단은 국민의 몫이고 용서할 지 여부도 국민의 몫입니다 월권하지 마세요
팔십넘어 먹은 노인네가 이 추운 날씨에 반팔에 시계를 노출하며 두번 절 한 까닭은그리고 퇴장하면서 엄지척한 사연은
국민들 다 죽으라고 절 두번하냐? ㅋㅋㅋㅋ결국 우한에서 바이러스 다 가져온거 신천지 맞네 이시키들
쇼하고 있네
저 상식에 벗어난 두번 절하는게 지령 내리는거였음 소름돋을듯
신천지 다단계 세무조사 실시해라!
제사 지내니? 큰절두번? ㅎㅎ
교활한넘들ㅡㅡ그거끼면   국민들이   정부책임을  새누리책임  으로    생각하라고  ?   짜고 치냐?  넌  명품도 많을텐데   왜그르 셔ㅡㅡㅡ
이만희 저넘도  실세가 아니다그 밑에 실세들도 전부 잡아들어 재산몰 수 하고  감옥보내고신천지해산 시켜라
절을 왜두번하나?  누가죽었냐  사이비  종교단체는 엄중처벌하고  이참에  하나님이 있다는걸  증명못하면 처벌할수있는  법을만들어라..
두번 절을 하다니 ㅋㅋㅋ국민들 다죽어라는 소리군 ㅋㅋ
죽으라고절두번하냐.이제 이만희너가가야지.신천지신도들정신차려라.만희가무슨신인줄아냐.결국은 사기꾼이다 제발정신차려라
시끄럽고 진실만 말해라. 원주도 너희들 땜에 초토화됐다. 발뺌하고 거짓말하며 온 국민에게 병을 전파하려고 교인현혹시키듯 우릴 현혹치말고...그냥 진실을 말해라.
죽었냐? 왜 절을 두번해?왜 영생불멸에는 답을 안하냐?
이시계 뭔가요 박통시계 차고나와 내돈 먹은 정치인들 에게  알아서 검찰수사 막아라는  시그널인가요   구지  저시계를 차고  나올이유가 있나요  돈이 없어서   나만의 생각일 수도
금색 시계 보이게 셔츠도 반팔입었냐? 미친 영감탱이 사죄는 개뿔
이만희  전세산다는데  숨겨진  재산 다  찾아서 횡렁한거  다  횐수하고  이만희 일가족 다 조사해서 쳐먹은  재산 찾아  다  구속시키고
신천지는 사이비교입니다
구속하고 전재산 몰수나 해라. 쇼하지말고. 나라꼴이 이게 뭐냐???
진정성은 얷어 보이던데? 마지막에는 화도내고 시끄럽다고..
찢어줄일놈~ 니가 악마의 축이다
신천지 재산 정부에 환원해라~너희들땜에 나라 망하게 생겼다
두번 큰절?? 맥이는거 같은데
개만희 ㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋ 노인네 죽긴싫은가보지? 마스크끼고?ㅋㅋㅋ
재산 몰수!!!!! 10년징역!!!!! 신천지 해체!!!!!
만희야 우리 죽은사람 아니다~ 절을 왜 두번해 기분나쁜데 더 나쁘잖아
오래 살다보니 하나님이 인간에게 사죄하는 경우도 보는구나!!!  ㅎㅎㅎ
신도 아닌것이 신인척 했네.사형시켜라.
'구원자님'께서 무슨 마스크? 니가 한 일 중 나쁜게 한두가지냐? 자식이 신천지 반대하는 부모에게 '당신과 뜻이 달라 집 나갑니다'라는 게 말이되냐?
두 번 절한거 엿맥인거지ㅋㅋㅋㅋㅋㅋ
"안돼, 용서해줄 생각따위 없어. 돌아가."
5천억이나되는 재산  전부  환수하고 사회봉사하게해라
줄 댄 정치인 새리들 슬슬 움직이겠네!
들켰어요가짜시계인거~~
제사지내냐!
지옥에 떨어질걸 생각안하나 보구나 제2의 유병언이가 나왔네 저런 더러운 인간들은 하늘나라에서도 오염이 되니 빨리 안데리고 가나보다
시계에 바끈혜 이름 뭔가요 같이 죽자는 뜻인가보네요 ㅋㅋ
우리보고 죽으랍니다
그냥 죽어!
실체를 보니 겁많고 나약하고 교활한 노인네 같더라 ~  저런 사람을  따르는게  믿기질않네
기독교는 절 안하지 않나요..?? 당연히 신천지라는 다른종교지만 절하는건 뭔가 이상하네요 그것도 두번...
"종교가 음지에서 진행되어야만 하나왜 믿음을 국가나 사회, 가족들에게 자랑스럽게 말을 못하나"
이거또 검찰이 털러온다니까 쇼하고 있네 니들 소속 자한당원이 누군지 누가 이걸 기획해서 총선에 써먹을려고 했는지 불어라 빨리
신천지 = 새누리당 이거 아니랄까봐 박근혜시계를 떡하니 차고 나왔네?
일단 이아재랑 시계로 북한은 또한번 묻혔네  진짜 이대로가다가 중국 한반도자치구 탄생하겠네 ㅋㅋㅋㅋㅋ
또 그네 연관있네ㅋㅋ
검찰 조사나 제대로 받아라.
하느님의 아들이라면서 코로나를 퇴치해야지 무슨 기자회견  쇼... 감옥에 안갈려고 검찰은 뭐하고 있어요  희대의 사기꾼은 안 잡아들이고...
이 난리를 만들어 놓고 연기 잘하네................정부는 뭐하냐 공권력으로 압수수색 해야지왜 전문가들 의견을 다 무시하는가!!!!!!!!!!!!!!아직도 신천지 믿는 바보가 있나!!!!!
이새기 질타화살 정치로 돌리려고 박근혜 시계차고 쇼 하는거보소 ㅋㅋㅋㅋ 괜히 사입 교주가 아니네
이만희 신천지 회장이 사과한것은 당연히해야 할 도리이지만  재림예수 구세주양반 전지전능한 하나님화신이자 초능력자이고 신통력갖인분인데  본인말되로 병마가 침투했으니 신도들께 사워서 이기자 편지 했으면병마 마귀를 물리치고 이겨서 국가와국민 그리고 전세계인에께  국가국민 하나님 예수 망심 시키지 말아야 양심갖인 종교 인이고 구세주이지 국가경제 망쳐놓고 말한마듸 사과는 안되고 피해보상해야 됨니다
할아버지 제발...........영생하냐고 하면 죽어도 또다른 보혜사로 다시온다하겠지......이단들의 뻔한 스토리어디서 숨어지내시다가 막는데 힘을다했다고 거짓부렁을-_-또 모략(신천지가 거짓말을 미화해서 하는 말)이였다 하겠지 ㅋㅋㅋㅋㅋㅋㅋ 아이고 두야......
용서는 없다 늙은 마구ㅣ야
